ID,Year,Fall,Name,NameType,Mass,Latitude,Longitude
1,1880-01-01T00:00:00.000,Fell,Aachen,Valid,21,50.775,6.08333
2,1951-01-01T00:00:00.000,Fell,Aarhus,Valid,720,56.18333,10.23333
6,1952-01-01T00:00:00.000,Fell,Abee,Valid,107000,54.21667,-113.0
10,1976-01-01T00:00:00.000,Fell,Acapulco,Valid,1914,16.88333,-99.9
370,1902-01-01T00:00:00.000,Fell,Achiras,Valid,780,-33.16667,-64.95
379,1919-01-01T00:00:00.000,Fell,Adhi Kot,Valid,4239,32.1,71.8
390,1949-01-01T00:00:00.000,Fell,Adzhi-Bogdo (stone),Valid,910,44.83333,95.16667
392,1814-01-01T00:00:00.000,Fell,Agen,Valid,30000,44.21667,0.61667
398,1930-01-01T00:00:00.000,Fell,Aguada,Valid,1620,-31.6,-65.23333
417,1920-01-01T00:00:00.000,Fell,Aguila Blanca,Valid,1440,-30.86667,-64.55
423,1974-01-01T00:00:00.000,Fell,Aioun el Atrouss,Valid,1000,16.39806,-9.57028
424,1925-01-01T00:00:00.000,Fell,Aïr,Valid,24000,19.08333,8.38333
425,1769-01-01T00:00:00.000,Fell,Aire-sur-la-Lys,Valid,,50.66667,2.33333
426,1949-01-01T00:00:00.000,Fell,Akaba,Valid,779,29.51667,35.05
427,1838-01-01T00:00:00.000,Fell,Akbarpur,Valid,1800,29.71667,77.95
432,1959-01-01T00:00:00.000,Fell,Akwanga,Valid,3000,8.91667,8.43333
433,1981-01-01T00:00:00.000,Fell,Akyumak,Valid,50000,39.91667,42.81667
446,1957-01-01T00:00:00.000,Fell,Al Rais,Valid,160,24.41667,39.51667
447,2001-01-01T00:00:00.000,Fell,Al Zarnkh,Valid,700,13.66033,28.96
448,1806-01-01T00:00:00.000,Fell,Alais,Valid,6000,44.11667,4.08333
453,1766-01-01T00:00:00.000,Fell,Albareto,Valid,2000,44.65,11.01667
454,1949-01-01T00:00:00.000,Fell,Alberta,Valid,625,2.0,22.66667
458,2002-01-01T00:00:00.000,Fell,Alby sur Chéran,Valid,252,45.82133,6.01533
461,1835-01-01T00:00:00.000,Fell,Aldsworth,Valid,700,51.78333,-1.78333
462,1873-01-01T00:00:00.000,Fell,Aleppo,Valid,3200,36.23333,37.13333
463,1860-01-01T00:00:00.000,Fell,Alessandria,Valid,908,44.88333,8.75
465,1900-01-01T00:00:00.000,Fell,Alexandrovsky,Valid,9251,50.95,31.81667
466,1883-01-01T00:00:00.000,Fell,Alfianello,Valid,228000,45.26667,10.15
2276,1899-01-01T00:00:00.000,Fell,Allegan,Valid,32000,42.53333,-85.88333
2278,1969-01-01T00:00:00.000,Fell,Allende,Valid,2000000,26.96667,-105.31667
48915,2008-01-01T00:00:00.000,Fell,Almahata Sitta,Valid,3950,20.74575,32.41275
2284,1977-01-01T00:00:00.000,Fell,Alta'ameem,Valid,6000,35.27333,44.21556
2290,1895-01-01T00:00:00.000,Fell,Ambapur Nagla,Valid,6400,27.66667,78.25
2294,1880-01-01T00:00:00.000,Fell,Andhara,Valid,2700,26.58333,85.56667
2295,1898-01-01T00:00:00.000,Fell,Andover,Valid,3200,44.61667,-70.75
2296,1969-01-01T00:00:00.000,Fell,Andreevka,Valid,600,48.7,37.5
2298,1939-01-01T00:00:00.000,Fell,Andura,Valid,17900,20.88333,76.86667
50693,,Found,Northwest Africa 5815,Valid,256.8,0.0,0.0
2301,1822-01-01T00:00:00.000,Fell,Angers,Valid,,47.46667,-0.55
2302,1869-01-01T00:00:00.000,Fell,Angra dos Reis (stone),Valid,1500,-22.96667,-44.31667
2304,1942-01-01T00:00:00.000,Fell,Ankober,Valid,6500,9.53333,39.71667
2305,1971-01-01T00:00:00.000,Fell,Anlong,Valid,2500,25.15,105.18333
